Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,-60.00000E+000,-1.24600E-009,36.45800E-003,19.99993E+000,-86.14400E-009,36.45800E-003
1,1,2,-60.00000E+000,-928.50000E-012,95.81700E-003,17.99995E+000,-111.87200E-009,95.81700E-003
1,1,3,-60.00000E+000,-704.20000E-012,153.17600E-003,15.99998E+000,-173.16700E-009,153.17600E-003
1,1,4,-60.00000E+000,-578.90000E-012,249.68400E-003,14.00004E+000,-72.28800E-009,249.68400E-003
1,1,5,-60.00000E+000,-344.70000E-012,305.47400E-003,12.00004E+000,125.09900E-009,305.47400E-003
1,1,6,-60.00000E+000,-317.40000E-012,400.04500E-003,9.99992E+000,96.52400E-009,400.04500E-003
1,1,7,-60.00000E+000,-112.50000E-012,458.59800E-003,7.99993E+000,20.26200E-009,458.59800E-003
1,1,8,-60.00000E+000,170.70000E-012,515.52200E-003,5.99996E+000,-122.60000E-009,515.52200E-003
1,1,9,-60.00000E+000,476.40000E-012,605.67800E-003,4.00003E+000,116.52000E-009,605.67800E-003
1,1,10,-60.00000E+000,1.10950E-009,664.14000E-003,1.99999E+000,165.81000E-009,664.14000E-003
1,1,11,-60.00000E+000,1.05070E-009,760.46400E-003,-34.60000E-006,103.69700E-009,760.46400E-003
1,1,12,-60.00000E+000,1.98510E-009,817.78100E-003,-2.00004E+000,-30.62500E-009,817.78100E-003
1,1,13,-60.00000E+000,-10.14670E-009,876.82400E-003,-4.00011E+000,-75.83800E-009,876.82400E-003
1,1,14,-60.00000E+000,-71.57250E-009,936.73000E-003,-6.00012E+000,-93.54500E-009,936.73000E-003
1,1,15,-60.00000E+000,-191.61600E-009,993.84400E-003,-8.00002E+000,-189.03200E-009,993.84400E-003
1,1,16,-60.00000E+000,-365.34800E-009,1.03102E+000,-10.00000E+000,-146.96600E-009,1.03102E+000
1,1,17,-60.00000E+000,-590.19300E-009,1.09292E+000,-11.99997E+000,-199.30200E-009,1.09292E+000
1,1,18,-60.00000E+000,-873.30800E-009,1.11865E+000,-14.00007E+000,-57.70700E-009,1.11865E+000
1,1,19,-60.00000E+000,-1.20664E-006,1.16169E+000,-16.00007E+000,75.08400E-009,1.16169E+000
1,1,20,-60.00000E+000,-1.60094E-006,1.17636E+000,-18.00007E+000,-204.04100E-009,1.17636E+000
1,1,21,-60.00000E+000,-2.04596E-006,1.19351E+000,-20.00000E+000,-289.43300E-009,1.19351E+000
1,1,22,-60.00000E+000,-2.50710E-006,1.23430E+000,-22.00010E+000,-285.12100E-009,1.23430E+000
1,1,23,-60.00000E+000,-3.03682E-006,1.25103E+000,-24.00000E+000,-281.40100E-009,1.25103E+000
1,1,24,-60.00000E+000,-3.60857E-006,1.26720E+000,-25.99990E+000,-132.03000E-009,1.26720E+000
1,1,25,-60.00000E+000,-4.21632E-006,1.28320E+000,-28.00000E+000,-47.34100E-009,1.28320E+000
1,1,26,-60.00000E+000,-4.85680E-006,1.29936E+000,-30.00010E+000,-195.45500E-009,1.29936E+000
1,1,27,-60.00000E+000,-5.53192E-006,1.31438E+000,-32.00010E+000,-458.11800E-009,1.31438E+000
1,1,28,-60.00000E+000,-6.22964E-006,1.33113E+000,-34.00000E+000,-449.50100E-009,1.33113E+000
1,1,29,-60.00000E+000,-6.95652E-006,1.34745E+000,-35.99990E+000,-329.23600E-009,1.34745E+000
1,1,30,-60.00000E+000,-7.70837E-006,1.36383E+000,-38.00000E+000,-306.49400E-009,1.36383E+000
1,1,31,-60.00000E+000,-8.48624E-006,1.37994E+000,-40.00010E+000,-502.19200E-009,1.37994E+000
1,1,32,-60.00000E+000,-9.28941E-006,1.39561E+000,-42.00010E+000,-843.75000E-009,1.39561E+000
1,1,33,-60.00000E+000,-10.07943E-006,1.41646E+000,-44.00000E+000,-1.20867E-006,1.41646E+000
1,1,34,-60.00000E+000,-10.88960E-006,1.43658E+000,-46.00000E+000,-1.29693E-006,1.43658E+000
1,1,35,-60.00000E+000,-11.76590E-006,1.45120E+000,-48.00000E+000,-1.60591E-006,1.45120E+000
1,1,36,-60.00000E+000,-12.64990E-006,1.46653E+000,-50.00000E+000,-1.66217E-006,1.46653E+000
1,1,37,-60.00000E+000,-13.53590E-006,1.48311E+000,-52.00000E+000,-1.85910E-006,1.48311E+000
1,1,38,-60.00000E+000,-14.44490E-006,1.49837E+000,-54.00000E+000,-2.31680E-006,1.49837E+000
1,1,39,-60.00000E+000,-15.35300E-006,1.51412E+000,-56.00000E+000,-2.78909E-006,1.51412E+000
1,1,40,-60.00000E+000,-16.25080E-006,1.53025E+000,-58.00000E+000,-2.98534E-006,1.53025E+000
1,1,41,-60.00000E+000,-17.14640E-006,1.54526E+000,-60.00000E+000,-3.10137E-006,1.54526E+000
1,1,42,-60.00000E+000,-17.06620E-006,1.55285E+000,-60.00000E+000,-3.37479E-006,1.55285E+000
1,1,43,-60.00000E+000,-15.91220E-006,1.56787E+000,-58.00000E+000,-2.80007E-006,1.56787E+000
1,1,44,-60.00000E+000,-14.70560E-006,1.60893E+000,-56.00000E+000,-2.46074E-006,1.60893E+000
1,1,45,-60.00000E+000,-13.65860E-006,1.61501E+000,-54.00000E+000,-2.19277E-006,1.61501E+000
