Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,-60.00000E+000,-1.07460E-009,36.14000E-003,20.00009E+000,53.12100E-009,36.14000E-003
1,1,2,-60.00000E+000,-768.70000E-012,93.10100E-003,18.00004E+000,159.65600E-009,93.10100E-003
1,1,3,-60.00000E+000,-618.10000E-012,187.20600E-003,15.99989E+000,8.99000E-009,187.20600E-003
1,1,4,-60.00000E+000,-417.40000E-012,245.71400E-003,14.00003E+000,-56.41200E-009,245.71400E-003
1,1,5,-60.00000E+000,-288.60000E-012,302.14800E-003,11.99996E+000,-162.32700E-009,302.14800E-003
1,1,6,-60.00000E+000,-158.00000E-012,396.45400E-003,10.00005E+000,24.16700E-009,396.45400E-003
1,1,7,-60.00000E+000,-90.80000E-012,453.35800E-003,7.99999E+000,144.87400E-009,453.35800E-003
1,1,8,-60.00000E+000,-13.80000E-012,547.75400E-003,5.99993E+000,41.93200E-009,547.75400E-003
1,1,9,-60.00000E+000,258.80000E-012,633.73600E-003,4.00006E+000,125.04300E-009,633.73600E-003
1,1,10,-60.00000E+000,408.30000E-012,729.02100E-003,1.99998E+000,104.36300E-009,729.02100E-003
1,1,11,-60.00000E+000,1.08520E-009,787.68300E-003,-60.00000E-006,45.42900E-009,787.68300E-003
1,1,12,-60.00000E+000,-4.50580E-009,843.26100E-003,-2.00004E+000,-147.12700E-009,843.26100E-003
1,1,13,-60.00000E+000,-103.80000E-009,886.23700E-003,-4.00004E+000,-29.90300E-009,886.23700E-003
1,1,14,-60.00000E+000,-439.26800E-009,903.09000E-003,-6.00001E+000,-177.91200E-009,903.09000E-003
1,1,15,-60.00000E+000,-1.06720E-006,949.34000E-003,-8.00004E+000,98.51300E-009,949.34000E-003
1,1,16,-60.00000E+000,-1.99418E-006,966.04200E-003,-10.00010E+000,-71.34500E-009,966.04200E-003
1,1,17,-60.00000E+000,-3.17764E-006,980.41600E-003,-12.00002E+000,-214.73900E-009,980.41600E-003
1,1,18,-60.00000E+000,-4.57174E-006,996.74300E-003,-13.99990E+000,-127.81700E-009,996.74300E-003
1,1,19,-60.00000E+000,-6.13904E-006,1.01254E+000,-16.00000E+000,-23.61800E-009,1.01254E+000
1,1,20,-60.00000E+000,-7.83677E-006,1.02971E+000,-18.00012E+000,-129.20700E-009,1.02971E+000
1,1,21,-60.00000E+000,-9.63987E-006,1.04507E+000,-20.00012E+000,-407.81700E-009,1.04507E+000
1,1,22,-60.00000E+000,-11.40740E-006,1.09117E+000,-22.00010E+000,-238.70400E-009,1.09117E+000
1,1,23,-60.00000E+000,-13.32820E-006,1.11768E+000,-24.00000E+000,-570.70100E-009,1.11768E+000
1,1,24,-60.00000E+000,-15.31820E-006,1.13293E+000,-26.00000E+000,-486.98800E-009,1.13293E+000
1,1,25,-60.00000E+000,-17.33820E-006,1.14786E+000,-28.00010E+000,-674.63100E-009,1.14786E+000
1,1,26,-60.00000E+000,-19.37990E-006,1.16328E+000,-30.00010E+000,-992.07800E-009,1.16328E+000
1,1,27,-60.00000E+000,-21.41500E-006,1.18261E+000,-32.00000E+000,-1.13839E-006,1.18261E+000
1,1,28,-60.00000E+000,-23.48410E-006,1.19946E+000,-34.00000E+000,-1.23436E-006,1.19946E+000
1,1,29,-60.00000E+000,-25.58330E-006,1.21366E+000,-36.00000E+000,-1.12593E-006,1.21366E+000
1,1,30,-60.00000E+000,-27.66820E-006,1.22938E+000,-38.00000E+000,-1.25817E-006,1.22938E+000
1,1,31,-60.00000E+000,-29.75750E-006,1.24383E+000,-40.00000E+000,-1.63850E-006,1.24383E+000
1,1,32,-60.00000E+000,-31.81060E-006,1.25915E+000,-42.00000E+000,-1.78670E-006,1.25915E+000
