Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,-60.00000E+000,-10.68660E-009,49.13100E-003,20.00000E+000,6.28280E-009,49.13100E-003
1,1,2,-60.00000E+000,-7.41920E-009,99.17600E-003,18.00000E+000,3.24290E-009,99.17600E-003
1,1,3,-60.00000E+000,-144.16800E-009,172.04600E-003,15.99998E+000,-2.51220E-009,172.04600E-003
1,1,4,-60.00000E+000,-641.07000E-009,228.84300E-003,13.99996E+000,-10.13850E-009,228.84300E-003
1,1,5,-60.00000E+000,-1.23783E-006,284.40700E-003,11.99997E+000,-12.63230E-009,284.40700E-003
1,1,6,-60.00000E+000,-1.89386E-006,337.04800E-003,9.99997E+000,-9.38710E-009,337.04800E-003
1,1,7,-60.00000E+000,-2.65634E-006,385.71200E-003,7.99998E+000,-6.57540E-009,385.71200E-003
1,1,8,-60.00000E+000,-3.53341E-006,434.00700E-003,5.99999E+000,-5.56390E-009,434.00700E-003
1,1,9,-60.00000E+000,-4.53236E-006,485.81600E-003,3.99999E+000,-4.61230E-009,485.81600E-003
1,1,10,-60.00000E+000,-5.66057E-006,535.10800E-003,1.99999E+000,-3.93100E-009,535.10800E-003
1,1,11,-60.00000E+000,-6.87711E-006,613.58300E-003,-8.70000E-006,-2.25340E-009,613.58300E-003
1,1,12,-60.00000E+000,-8.27453E-006,663.19400E-003,-2.00000E+000,-2.45580E-009,663.19400E-003
1,1,13,-60.00000E+000,-9.78423E-006,717.76500E-003,-4.00000E+000,-2.30360E-009,717.76500E-003
1,1,14,-60.00000E+000,-11.42220E-006,773.89000E-003,-6.00001E+000,-2.11000E-009,773.89000E-003
1,1,15,-60.00000E+000,-13.19700E-006,822.67900E-003,-8.00001E+000,-1.79320E-009,822.67900E-003
1,1,16,-60.00000E+000,-15.08490E-006,871.29000E-003,-10.00001E+000,-1.68070E-009,871.29000E-003
1,1,17,-60.00000E+000,-17.09110E-006,922.74800E-003,-12.00000E+000,-1.59960E-009,922.74800E-003
1,1,18,-60.00000E+000,-19.21650E-006,971.39900E-003,-14.00001E+000,-1.63920E-009,971.39900E-003
1,1,19,-60.00000E+000,-21.45610E-006,1.02319E+000,-16.00000E+000,-1.64280E-009,1.02319E+000
1,1,20,-60.00000E+000,-23.81390E-006,1.07188E+000,-18.00001E+000,-1.45180E-009,1.07188E+000
1,1,21,-60.00000E+000,-26.24660E-006,1.13912E+000,-20.00000E+000,-1.27450E-009,1.13912E+000
1,1,22,-60.00000E+000,-28.82540E-006,1.18812E+000,-22.00000E+000,-1.26210E-009,1.18812E+000
1,1,23,-60.00000E+000,-31.51580E-006,1.23965E+000,-24.00000E+000,-1.22230E-009,1.23965E+000
1,1,24,-60.00000E+000,-34.32730E-006,1.28883E+000,-26.00000E+000,-1.04270E-009,1.28883E+000
1,1,25,-60.00000E+000,-37.23070E-006,1.34058E+000,-28.00000E+000,-1.25060E-009,1.34058E+000
1,1,26,-60.00000E+000,-40.25270E-006,1.38907E+000,-30.00000E+000,-1.29570E-009,1.38907E+000
1,1,27,-60.00000E+000,-43.35330E-006,1.44014E+000,-32.00000E+000,-1.38290E-009,1.44014E+000
1,1,28,-60.00000E+000,-46.56310E-006,1.48863E+000,-34.00000E+000,-1.28340E-009,1.48863E+000
1,1,29,-60.00000E+000,-49.83430E-006,1.53971E+000,-36.00000E+000,-1.49100E-009,1.53971E+000
1,1,30,-60.00000E+000,-53.09300E-006,1.60452E+000,-38.00000E+000,-1.46800E-009,1.60452E+000
1,1,31,-60.00000E+000,-56.50960E-006,1.65395E+000,-40.00000E+000,-1.49110E-009,1.65395E+000
1,1,32,-60.00000E+000,-59.95410E-006,1.70382E+000,-42.00000E+000,-1.65480E-009,1.70382E+000
1,1,33,-60.00000E+000,-63.38470E-006,1.75329E+000,-44.00000E+000,-1.72300E-009,1.75329E+000
1,1,34,-60.00000E+000,-66.79020E-006,1.80264E+000,-46.00010E+000,-2.00160E-009,1.80264E+000
1,1,35,-60.00000E+000,-70.08800E-006,1.85411E+000,-48.00000E+000,-1.92520E-009,1.85411E+000
1,1,36,-60.00000E+000,-73.32460E-006,1.90326E+000,-50.00000E+000,-2.13300E-009,1.90326E+000
1,1,37,-60.00000E+000,-76.40830E-006,1.95509E+000,-52.00000E+000,-3.56650E-009,1.95509E+000
1,1,38,-60.00000E+000,-79.44030E-006,2.00529E+000,-54.00000E+000,-2.53470E-009,2.00529E+000
1,1,39,-60.00000E+000,-82.38020E-006,2.05511E+000,-56.00000E+000,-2.58930E-009,2.05511E+000
1,1,40,-60.00000E+000,-84.75490E-006,2.13924E+000,-58.00000E+000,-2.59940E-009,2.13924E+000
1,1,41,-60.00000E+000,-87.66960E-006,2.18897E+000,-60.00000E+000,-2.77300E-009,2.18897E+000
1,1,42,-60.00000E+000,-87.32030E-006,2.21219E+000,-60.00000E+000,-2.68930E-009,2.21219E+000
1,1,43,-60.00000E+000,-83.16200E-006,2.26342E+000,-58.00000E+000,-2.26950E-009,2.26342E+000
1,1,44,-60.00000E+000,-79.22650E-006,2.31529E+000,-56.00000E+000,-1.92790E-009,2.31529E+000
1,1,45,-60.00000E+000,-75.43340E-006,2.36454E+000,-54.00000E+000,-1.69830E-009,2.36454E+000
1,1,46,-60.00000E+000,-71.69660E-006,2.41403E+000,-52.00000E+000,-1.49880E-009,2.41403E+000
1,1,47,-60.00000E+000,-67.99590E-006,2.46369E+000,-50.00000E+000,-1.35630E-009,2.46369E+000
1,1,48,-60.00000E+000,-64.28390E-006,2.51338E+000,-48.00000E+000,-1.13780E-009,2.51338E+000
1,1,49,-60.00000E+000,-60.58130E-006,2.56464E+000,-46.00000E+000,-965.80000E-012,2.56464E+000
1,1,50,-60.00000E+000,-56.83100E-006,2.59822E+000,-44.00000E+000,-58.34000E-009,2.59822E+000
1,1,51,-60.00000E+000,-53.24380E-006,2.65321E+000,-42.00000E+000,-740.80000E-012,2.65321E+000
1,1,52,-60.00000E+000,-49.65350E-006,2.70195E+000,-40.00000E+000,-639.90000E-012,2.70195E+000
1,1,53,-60.00000E+000,-46.15240E-006,2.75187E+000,-38.00000E+000,-447.40000E-012,2.75187E+000
1,1,54,-60.00000E+000,-42.76590E-006,2.80451E+000,-36.00000E+000,-277.10000E-012,2.80451E+000
1,1,55,-60.00000E+000,-39.47270E-006,2.85382E+000,-34.00000E+000,-133.80000E-012,2.85382E+000
1,1,56,-60.00000E+000,-36.31210E-006,2.90535E+000,-32.00000E+000,-89.90000E-012,2.90535E+000
1,1,57,-60.00000E+000,-33.25020E-006,2.95428E+000,-30.00000E+000,14.20000E-012,2.95428E+000
1,1,58,-60.00000E+000,-30.32770E-006,3.00468E+000,-28.00000E+000,188.80000E-012,3.00468E+000
1,1,59,-60.00000E+000,-27.51000E-006,3.05376E+000,-26.00000E+000,301.10000E-012,3.05376E+000
1,1,60,-60.00000E+000,-24.87730E-006,3.14138E+000,-24.00000E+000,272.80000E-012,3.14138E+000
1,1,61,-60.00000E+000,-22.26590E-006,3.17716E+000,-22.00000E+000,-53.19500E-009,3.17716E+000
1,1,62,-60.00000E+000,-19.80900E-006,3.20802E+000,-20.00000E+000,1.13900E-009,3.20802E+000
1,1,63,-60.00000E+000,-17.48640E-006,3.25977E+000,-18.00000E+000,1.21480E-009,3.25977E+000
1,1,64,-60.00000E+000,-15.27660E-006,3.30828E+000,-16.00000E+000,1.45120E-009,3.30828E+000
1,1,65,-60.00000E+000,-13.19470E-006,3.36009E+000,-14.00000E+000,1.50070E-009,3.36009E+000
1,1,66,-60.00000E+000,-11.22950E-006,3.40832E+000,-12.00000E+000,1.81910E-009,3.40832E+000
1,1,67,-60.00000E+000,-9.39390E-006,3.45903E+000,-10.00000E+000,2.00950E-009,3.45903E+000
1,1,68,-60.00000E+000,-7.68354E-006,3.51018E+000,-8.00000E+000,2.51610E-009,3.51018E+000
1,1,69,-60.00000E+000,-6.11037E-006,3.55956E+000,-5.99999E+000,4.04160E-009,3.55956E+000
1,1,70,-60.00000E+000,-4.72751E-006,3.64412E+000,-4.00000E+000,3.07790E-009,3.64412E+000
1,1,71,-60.00000E+000,-3.43532E-006,3.69439E+000,-1.99999E+000,4.33680E-009,3.69439E+000
1,1,72,-60.00000E+000,-2.33102E-006,3.74392E+000,8.50000E-006,5.20450E-009,3.74392E+000
1,1,73,-60.00000E+000,-1.41901E-006,3.79285E+000,2.00001E+000,6.25510E-009,3.79285E+000
1,1,74,-60.00000E+000,-732.04000E-009,3.84036E+000,3.99998E+000,-10.66500E-009,3.84036E+000
1,1,75,-60.00000E+000,-284.31700E-009,3.87300E+000,6.00001E+000,6.50390E-009,3.87300E+000
1,1,76,-60.00000E+000,-69.52180E-009,3.93655E+000,8.00000E+000,5.31220E-009,3.93655E+000
1,1,77,-60.00000E+000,-8.48660E-009,4.00929E+000,10.00000E+000,5.41330E-009,4.00929E+000
1,1,78,-60.00000E+000,-6.38470E-009,4.07981E+000,12.00000E+000,7.85920E-009,4.07981E+000
1,1,79,-60.00000E+000,-6.41080E-009,4.18003E+000,14.00000E+000,7.16500E-009,4.18003E+000
1,1,80,-60.00000E+000,-7.22150E-009,4.25523E+000,16.00000E+000,6.89540E-009,4.25523E+000
1,1,81,-60.00000E+000,-8.81250E-009,4.30457E+000,18.00000E+000,7.93540E-009,4.30457E+000
