Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,-60.00000E+000,-916.20000E-012,49.83900E-003,20.00000E+000,2.02870E-009,49.83900E-003
1,1,2,-60.00000E+000,-672.40000E-012,100.09300E-003,18.00000E+000,1.56870E-009,100.09300E-003
1,1,3,-60.00000E+000,-1.14180E-009,173.96800E-003,16.00000E+000,737.40000E-012,173.96800E-003
1,1,4,-60.00000E+000,-27.96060E-009,247.51900E-003,14.00000E+000,948.60000E-012,247.51900E-003
1,1,5,-60.00000E+000,-221.69700E-009,308.99700E-003,12.00000E+000,758.00000E-012,308.99700E-003
1,1,6,-60.00000E+000,-807.05700E-009,368.66800E-003,10.00000E+000,395.00000E-012,368.66800E-003
1,1,7,-60.00000E+000,-2.05179E-006,425.36400E-003,8.00000E+000,-255.90000E-012,425.36400E-003
1,1,8,-60.00000E+000,-4.30820E-006,474.51500E-003,5.99999E+000,-1.18790E-009,474.51500E-003
1,1,9,-60.00000E+000,-7.80002E-006,525.29600E-003,3.99999E+000,-1.20680E-009,525.29600E-003
1,1,10,-60.00000E+000,-12.30690E-006,600.02200E-003,2.00000E+000,-121.20000E-012,600.02200E-003
1,1,11,-60.00000E+000,-17.26020E-006,649.87900E-003,-600.00000E-009,-347.30000E-012,649.87900E-003
1,1,12,-60.00000E+000,-21.89480E-006,699.13700E-003,-2.00000E+000,-2.27040E-009,699.13700E-003
1,1,13,-60.00000E+000,-25.99780E-006,748.83400E-003,-4.00001E+000,-13.78640E-009,748.83400E-003
1,1,14,-60.00000E+000,-29.75090E-006,798.12000E-003,-6.00004E+000,-39.98720E-009,798.12000E-003
1,1,15,-60.00000E+000,-33.26390E-006,856.66500E-003,-8.00003E+000,-32.53600E-009,856.66500E-003
1,1,16,-60.00000E+000,-36.83520E-006,873.30700E-003,-10.00002E+000,-134.61800E-009,873.30700E-003
1,1,17,-60.00000E+000,-40.34010E-006,889.25900E-003,-11.99998E+000,-216.03500E-009,889.25900E-003
1,1,18,-60.00000E+000,-43.80030E-006,905.19300E-003,-13.99999E+000,-220.67700E-009,905.19300E-003
1,1,19,-60.00000E+000,-47.28330E-006,914.98700E-003,-16.00002E+000,-324.95000E-009,914.98700E-003
1,1,20,-60.00000E+000,-50.63890E-006,930.00600E-003,-18.00001E+000,-420.45500E-009,930.00600E-003
1,1,21,-60.00000E+000,-53.92860E-006,948.00600E-003,-20.00000E+000,-530.19400E-009,948.00600E-003
1,1,22,-60.00000E+000,-57.16220E-006,964.64400E-003,-22.00000E+000,-606.24300E-009,964.64400E-003
1,1,23,-60.00000E+000,-60.36410E-006,981.30100E-003,-24.00000E+000,-649.69700E-009,981.30100E-003
1,1,24,-60.00000E+000,-63.53750E-006,997.02700E-003,-26.00000E+000,-828.75600E-009,997.02700E-003
1,1,25,-60.00000E+000,-66.66350E-006,1.01362E+000,-28.00000E+000,-1.07993E-006,1.01362E+000
1,1,26,-60.00000E+000,-69.77800E-006,1.02868E+000,-30.00000E+000,-1.36098E-006,1.02868E+000
1,1,27,-60.00000E+000,-72.86870E-006,1.04366E+000,-32.00000E+000,-1.58885E-006,1.04366E+000
1,1,28,-60.00000E+000,-75.91000E-006,1.06009E+000,-34.00000E+000,-1.83137E-006,1.06009E+000
1,1,29,-60.00000E+000,-78.96250E-006,1.07540E+000,-36.00000E+000,-2.40825E-006,1.07540E+000
1,1,30,-60.00000E+000,-81.38910E-006,1.12603E+000,-38.00000E+000,-2.80076E-006,1.12603E+000
1,1,31,-60.00000E+000,-84.54290E-006,1.13951E+000,-40.00000E+000,-3.01432E-006,1.13951E+000
1,1,32,-60.00000E+000,-87.60750E-006,1.15465E+000,-42.00000E+000,-3.58321E-006,1.15465E+000
1,1,33,-60.00000E+000,-90.64560E-006,1.16955E+000,-44.00000E+000,-4.43279E-006,1.16955E+000
1,1,34,-60.00000E+000,-93.69260E-006,1.18336E+000,-46.00000E+000,-4.99367E-006,1.18336E+000
1,1,35,-60.00000E+000,-96.68960E-006,1.19761E+000,-48.00000E+000,-5.86582E-006,1.19761E+000
1,1,36,-60.00000E+000,-99.54710E-006,1.21519E+000,-50.00000E+000,-6.90447E-006,1.21519E+000
1,1,37,-60.00000E+000,-102.39050E-006,1.23215E+000,-52.00000E+000,-8.17300E-006,1.23215E+000
