Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,-60.00000E+000,-2.07300E-009,36.75700E-003,59.99990E+000,-7.98400E-009,36.75700E-003
1,1,2,-60.00000E+000,-1.89620E-009,95.43100E-003,57.59990E+000,-47.51400E-009,95.43100E-003
1,1,3,-60.00000E+000,-1.75610E-009,152.85500E-003,55.20000E+000,-92.17600E-009,152.85500E-003
1,1,4,-60.00000E+000,-1.62220E-009,248.98000E-003,52.80010E+000,-54.15100E-009,248.98000E-003
1,1,5,-60.00000E+000,-1.50600E-009,306.60600E-003,50.40000E+000,14.56000E-009,306.60600E-003
1,1,6,-60.00000E+000,-1.43040E-009,365.44500E-003,48.00000E+000,47.28400E-009,365.44500E-003
1,1,7,-60.00000E+000,-1.34270E-009,425.29300E-003,45.60000E+000,52.51800E-009,425.29300E-003
1,1,8,-60.00000E+000,-1.26470E-009,483.25500E-003,43.20000E+000,105.30700E-009,483.25500E-003
1,1,9,-60.00000E+000,-1.27960E-009,600.65200E-003,40.80000E+000,106.87300E-009,600.65200E-003
1,1,10,-60.00000E+000,-1.26970E-009,696.99200E-003,38.40000E+000,-3.82800E-009,696.99200E-003
1,1,11,-60.00000E+000,-2.74100E-009,792.67300E-003,36.00000E+000,-97.35400E-009,792.67300E-003
1,1,12,-60.00000E+000,-38.30670E-009,889.35000E-003,33.60000E+000,-80.19900E-009,889.35000E-003
1,1,13,-60.00000E+000,-155.99900E-009,944.52900E-003,31.20000E+000,76.32800E-009,944.52900E-003
1,1,14,-60.00000E+000,-397.17100E-009,989.42300E-003,28.80000E+000,-82.84200E-009,989.42300E-003
1,1,15,-60.00000E+000,-787.83200E-009,1.02931E+000,26.40000E+000,-81.15900E-009,1.02931E+000
1,1,16,-60.00000E+000,-1.35393E-006,1.05526E+000,23.99990E+000,-45.01300E-009,1.05526E+000
1,1,17,-60.00000E+000,-2.08652E-006,1.12953E+000,21.60000E+000,-85.01600E-009,1.12953E+000
